"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000230051",3.32182028550422,-3.31197962254056,1.73123139855345,-1.91307737677813,0.0557381474799026,0.111103350122788
"ENSG00000249460",2.08006284820827,-3.93652641921564,1.90920484059968,-2.06186698017128,0.0392204019840414,0.0898800878800948
"ENSG00000285294",2.77655246551481,-2.0078628292686,1.69091440767601,-1.18744202554179,0.235053311530899,0.284756214409679
"ENSG00000254395",2.82260894182256,-2.38878764178561,1.92446031425695,-1.24127664472413,0.214503569426427,0.269353797224965
"ENSG00000258551",3.97018521961974,-2.10050184984158,1.51493862912111,-1.38652603443097,0.165586336257391,0.226548470003894
"ENSG00000230936",3.23629177236266,-3.93991896171791,1.92712441164453,-2.0444549080024,0.0409086276963696,0.091878618851195
"ENSG00000233977",4.72219209723452,-2.28794759832454,1.74899593917971,-1.30814917694869,0.190822716334651,0.246367356770089
"ENSG00000288545",3.08970592671226,-3.23447561190638,1.67037249408976,-1.93637983345083,0.0528211975488372,0.108401711387539
"ENSG00000134757",5.49103189919943,-3.63559446533109,1.8590354160296,-1.95563485987574,0.0505081833030686,0.105602021644325
"ENSG00000108759",2.42284059286336,-3.53545433595148,1.6980060748718,-2.08212113506037,0.0373314064959193,0.0870011592065916
"ENSG00000184344",4.10977784658826,-3.65892520240919,1.97956296155243,-1.84835000122439,0.0645517267247158,0.12242568861584
"ENSG00000286481",3.67657374247286,-2.4994450033477,1.45116364258821,-1.72237294953851,0.0850019806122478,0.144351497374635
"ENSG00000215117",6.20830506859163,-2.99030115900491,1.68159764593294,-1.77825008630166,0.0753627901258827,0.135455995324299
"ENSG00000257927",5.31426976106669,-3.12644424384395,1.80033913187429,-1.73658628449023,0.0824602221758515,0.143353060032229
"ENSG00000286081",5.13374243167657,-1.89310935061416,1.4456894008434,-1.30948552954025,0.190369936268025,0.246367356770089
"ENSG00000211794",6.98469167131659,-3.47048212900972,1.62052224269449,-2.1415825328255,0.0322270905541214,0.0799257789358174
"ENSG00000236081",6.98492301192677,-2.87703207596429,1.59059112179384,-1.80878167653773,0.0704849280541957,0.129222368099359
"ENSG00000211952",5.17134635637572,-1.46551178033622,1.948491731168,-0.752126250727136,0.451975138875456,0.477804924284867
"ENSG00000204528",6.85074258597598,-2.64711597338273,1.8794786039811,-1.40843102325061,0.159003478305184,0.219837781759345
"ENSG00000249116",4.72813983133909,-1.56679697855297,1.6944177012035,-0.924681663464753,0.355131520236727,0.395389344393117
"ENSG00000286580",3.7100586443545,-2.42398430351018,1.69797483799173,-1.42757374801686,0.153414584205779,0.21746912709582
"ENSG00000243955",5.99395145298239,-3.10679616191157,1.41668086121503,-2.19301061161156,0.0283066145496837,0.0734369717090852
"ENSG00000258932",6.66204068031086,-1.95697977487081,1.42029486662918,-1.37786865308847,0.168243844767622,0.229044838173742
"ENSG00000112499",8.43062231260806,-3.00981420346996,1.64628846623781,-1.82824229483194,0.0675131959649497,0.126300196533069
"ENSG00000232325",8.36526245957459,-2.90808631220863,1.7224796443842,-1.68831389194634,NA,NA
"ENSG00000064218",6.95127750144658,-1.93194636892331,1.24340851902221,-1.55375030761616,0.120243987954664,0.179712481997459
