"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000272398",70040.0803954925,6.06586139490283,1.41138785440216,4.29779906067862,NA,NA
"ENSG00000135439",16495.2063842612,3.17701926393038,1.33794340895586,2.37455429180652,0.0175701520724435,0.0508609665254944
"ENSG00000130348",9084.00795570396,3.88913604705846,1.2448360505289,3.12421547030718,NA,NA
"ENSG00000198719",23385.8008192779,6.14109980494344,1.41466360323324,4.34103188270897,NA,NA
"ENSG00000169429",8983.68412249732,3.75897034343529,1.23940545307757,3.03288188227781,0.00242230393092753,0.0148506695790678
"ENSG00000171608",6194.42837150093,3.42391290551682,1.26426682133114,2.70822016978331,NA,NA
"ENSG00000164494",6432.12712364124,3.81386894521847,1.24129210553502,3.07249915488233,NA,NA
"ENSG00000198732",8867.2937723462,4.86151463835066,1.19284530268093,4.0755617073097,4.59034072221341e-05,0.00252468739721738
"ENSG00000130349",3983.54394103375,3.40585256101238,1.19887222247191,2.84088036837652,NA,NA
"ENSG00000173404",3610.12112303218,3.53275810106108,1.35842857357806,2.6006211660845,NA,NA
"ENSG00000142549",2556.23622375482,3.29193242698842,1.0981118670936,2.99781153963963,0.00271925771356511,0.0152611402291919
"ENSG00000146426",2097.92793667872,2.96211421491467,1.26318969072715,2.34494806018369,NA,NA
"ENSG00000130347",2104.56328393433,3.13663913598015,1.19357131781758,2.62794446310542,NA,NA
"ENSG00000275385",5777.59771408312,5.9326621858864,1.69488012496605,3.50034323873215,NA,NA
"ENSG00000178409",1322.89008318768,3.20870481694278,1.21851771558365,2.63328532355877,0.00845632750677326,0.0314954323196203
"ENSG00000134363",1442.33746544807,3.42487960027365,1.13475029164932,3.01817908792578,0.00254298576077394,0.0152026322654964
"ENSG00000137142",1716.75036686388,4.20757146738093,1.35167223778763,3.11286371781057,0.00185281553471933,0.0147458930621996
"ENSG00000133063",1774.26610518823,4.11487304867128,1.42435081222824,2.88894632793027,NA,NA
"ENSG00000150275",1387.01194629061,3.77185752534531,1.34484793661407,2.8046721288369,0.00503677860253095,0.0219859383443811
"ENSG00000124440",1326.12570335245,3.67940947442918,1.19192572010874,3.08694527884967,0.00202224819789124,0.0147458930621996
"ENSG00000124102",1761.22441389019,4.3099820793114,1.3806194947766,3.12177402652771,0.001797648632356,0.0147458930621996
"ENSG00000158164",1391.33680911814,3.86663969579203,1.45448700135182,2.65842162370536,0.00785076087027944,0.0304078766102373
"ENSG00000203710",954.925682519945,3.47324122206907,1.37111792997788,2.53314550567149,NA,NA
"ENSG00000253305",789.442023920945,3.30440409357125,1.32257325901874,2.49846582867015,NA,NA
"ENSG00000169840",748.259940850746,2.92217277852952,1.47574648657466,1.98013195702206,0.0476887030997295,0.100879948864812
"ENSG00000170549",1202.16668175413,5.27601192445366,1.38119935591142,3.81987719721471,0.000133518132591975,0.00524535520897043
"ENSG00000153132",725.109684000473,3.63255864457361,1.17590316763793,3.08916477525139,0.0020072008150654,0.0147458930621996
"ENSG00000111087",1100.83103899187,4.87211461317377,1.41409429488005,3.44539584864604,NA,NA
"ENSG00000197083",545.138241072168,3.61559378485497,1.23509295708034,2.92738596243147,0.00341824390273309,0.0170912195136655
"ENSG00000128573",568.125017567913,3.76805258415,1.13946169344901,3.30687078452334,0.000943444002133657,0.0133120852160952
"ENSG00000188011",557.908775639468,3.67346360231495,1.24863697526334,2.94197887383577,0.00326122174736595,0.0168263489753728
"ENSG00000168505",495.218778443759,3.64486614573719,1.24813066943563,2.92026006170114,0.00349739396168578,0.0171747024904213
"ENSG00000164946",414.282887778241,3.51800098106864,1.19024394803271,2.95569743234851,0.00311962961789638,0.0164980412484905
"ENSG00000231789",417.454072698677,3.5379273328665,1.25488735285501,2.81931866220288,NA,NA
"ENSG00000257335",405.490155999903,3.95173332687945,1.1740004086285,3.36604084447975,NA,NA
"ENSG00000258548",523.844745862932,4.82358789199813,1.38997004734393,3.47028189651672,0.000519912394377241,0.0107920014352092
"ENSG00000162992",412.665345778581,3.97442935926542,1.33803845855025,2.97034015268265,0.00297470169312241,0.0160400581491895
"ENSG00000085552",252.618863480787,3.20963742963447,1.22133816444783,2.62796784958043,0.00858966335989644,0.0314954323196203
"ENSG00000153993",281.226616413649,3.73064918156087,1.22985506428812,3.03340555313345,0.00241810390086176,0.0148506695790678
"ENSG00000108342",329.862503284596,4.11765706956865,1.44173342748002,2.85604605614634,0.00428952906096159,0.0193380408485973
"ENSG00000263958",310.015397424875,4.17760331553492,1.3282385890484,3.1452205574963,0.00165961659325028,0.0147458930621996
"ENSG00000253953",274.546197930159,3.82885224939271,1.40814191653374,2.71908122642763,NA,NA
"ENSG00000249158",229.871213979963,3.89571529602589,1.29398988181688,3.01062268783427,0.00260712598610131,0.0152544605569758
"ENSG00000241945",210.234584196163,3.48100928317599,0.967991913907662,3.59611401000613,0.00032300627845159,0.00888267265741874
"ENSG00000214456",202.678295181077,3.40212688675371,1.09825493951729,3.09775696365091,0.00194991267194759,0.0147458930621996
"ENSG00000206557",188.099000436157,3.37336917464857,1.21434547128449,2.77793202545594,0.00547060612471564,0.0235065106921375
"ENSG00000181374",183.725224953912,3.0329951717913,1.83575813068476,1.65217580741966,NA,NA
"ENSG00000120057",437.711312798437,5.85016698973402,1.47467338990166,3.96709334405508,NA,NA
